"Add","Přidat"
"Add gift message for shopping cart","Přidat vzkaz k dárku do košíku"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Přidat vzkazy k dárkům k produktům v košíku"
"Add gift options","Přidat nastavení dárků"
"Add gift options for Individual Items","Přidat nastavení dárků pro jednotlivé položky"
"Add gift options for the Entire Order","Přidat nastavení dárků pro celou objednávku"
"Add gift options.","Přidat nastavení dárků."
"Allow Gift Messages for Order Items","Povolit vzkaz k dárku pro položky objednávky"
"Allow Gift Messages on Order Level","Povolit vzkaz k dárku na úrovni objednávky"
"An error occurred while saving the gift message.","Došlo k chybě při ukládání vzkazu k dárku."
"Are you sure?","Opravdu?"
"Cancel","Zrušit"
"Do you have any gift items in your order?","Máte v košíku dárkové položky?"
"Edit","Upravit"
"From","Od"
"Gift Message","Vzkaz k dárku"
"Gift Message API","Rozhraní API pro vzkaz k dárku"
"Gift Options","Nastavení dárků"
"Gift Options for","Nastavení dárků pro"
"Gift Options for Individual Items","Nastavení dárků pro jednotlivé položky"
"Gift Options for the Entire Order.","Nastavení dárků pro celou objednávku."
"Gift Options for this address.","Nastavení dárků pro tuto adresu."
"Item %d of %d","Položka %d z %d"
"Message","Vzkaz"
"No","Ne"
"OK","OK"
"Save Gift Message","Uložit vzkaz k dárku"
"The gift message has been removed","Vzkaz k dárku byl odebrán"
"The gift message has been saved","Vzkaz k dárku byl uložen"
"The gift message has been saved.","Vzkaz k dárku byl uložen."
"To","Pro"
"Unknown entity type","Neznámý typ entity"
"Use config","Použít konfiguraci"
"Yes","Ano"
"You can leave this box blank if you do not wish to add a gift message for the item.","Pokud nechcete k položce přidat žádný dárkový vzkaz, nechte toto pole prázdné."
"You can leave this box blank if you do not wish to add a gift message for this address.","Pokud nechcete k této adrese přidat žádný dárkový vzkaz, nechte toto pole prázdné."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Pokud nechcete k celé objednávce přidat žádný dárkový vzkaz, nechte toto pole prázdné."
