"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"(Optional. Leave blank for no prefix)","(Volitelné. Nechte prázdné pokud není prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Cesta do administrace"
"After successfull installation please click the button below.","Po úspěšné instalaci klepněte na tlačítko níže."
"All packages were installed, click 'OK' to continue with installation.","Všechny balíčky jsou nainstalovány, klepněte na tlačítko OK a pokračujte v instalaci."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Také můžete zkusit metodu ""Ruční stažení a aktualizaci""."
"Base URL","Základní adresa URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Než budete pokračovat dalé, prosím zaznamenejte si šifrovacího klíč. Magento jej používá k šifrování hesel, kreditních karet atd."
"Check out our","Check out our"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Toto políčko zaškrtněte pouze v případě, že není možné automaticky ověřit zabezpečené URL, například, pokud je vyžadováno ověřování protokolu HTTP."
"Check this box only if it is not possible to automatically validate the Base URL.","Toto políčko zaškrtněte pouze v případě, že není možné automaticky ověřit základní adresu URL."
"Choose this if you would like to test frontend and backend functionality.","Tuto možnost vyberte, pokud chcete otestovat funkčnost frontend a backend."
"Configuration","Konfigurace"
"Confirm Password","Potvrdit heslo"
"Connection","Připojení"
"Continue","Pokračovat"
"Continue After Manual Download","Pokračovat po ruční stažení"
"Continue Full Download / SVN Installation","Continue Full Download / SVN Installation"
"Create Admin Account","Vytvořit účet administrátora"
"Currently this is the most stable state available for Magento packages.","V současné době to je nejvíce stabilní verze pro Magento balíčky."
"Database","Databáze"
"Database Connection","Databázové připojení"
"Database Name","Název databáze"
"Database Name cannot be empty.","Název databáze nemůže být prázdný."
"Database Type","Typ databáze"
"Database connection error.","Chyba v připojení k databázi."
"Database host","Hostitel databáze"
"Database server does not support the InnoDB storage engine.","Databázový server nepodporuje InnoDB storage engine."
"Database user name","Uživatelské jméno databáze"
"Database user password","Uživatelské heslo databáze"
"Default Currency","Výchozí měna"
"Download","Stáhnout"
"Download Magento Core Modules and Updates","Download Magento Core Modules and Updates"
"Downloading and installing Magento, please wait...","Downloading and installing Magento, please wait..."
"Email","E-mail"
"Email Address","E-mailová adresa"
"Enable Charts","Povolit grafy"
"Enable this option if you want the charts to be displayed on Dashboard.","Enable this option if you want the charts to be displayed on Dashboard."
"Enable this option only if you have SSL available.","Enable this option only if you have SSL available."
"Encryption Key","Šifrovací klíč"
"File System","Souborový systém"
"First Name","Jméno"
"Full Download / SVN Installation","Úplné stažení / SVN instalace"
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Go to Backend","Přejít do Administrace"
"Go to Frontend","Go to Frontend"
"Having trouble installing Magento?","Having trouble installing Magento?"
"Help Us to Keep Magento Healthy","Pomozte nám udržovat Magento v cajku"
"Host","Host"
"I agree to the above terms and conditions.","Souhlasím s výše uvedenými podmínkami."
