"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* Povinná pole"
"Address","Adresa"
"Address Information","Informace o adrese"
"Already registered?","Již jste registrováni?"
"Back","Zpět"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest","Checkout as a Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","Obec"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Zavřít‏"
"Company","Společnost"
"Confirm Password","Potvrdit heslo"
"Continue","Pokračovat"
"Country","Země"
"Create an Account","Vytvořit účet"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","E-mailová adresa"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Fast and easy check out"
"Faster checkout","Faster checkout"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Loading next step..."
"Login","Přihlášení"
"Login Information","Přihlašovací informace"
"Login or Create an Account","Login or Create an Account"
"New Customers","Noví zákazníci"
"New Here?","New Here?"
"Password","Heslo"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Osobní údaje"
"Please enter the following information to create your account.","Please enter the following information to create your account."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Registrovat"
"Register and Checkout","Register and Checkout"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Registration is free and easy!","Registration is free and easy!"
"Remember Me","Pamatuj si mě"
"Returning Customers","Returning Customers"
"Save in address book","Save in address book"
"Save multiple shipping addresses","Save multiple shipping addresses"
"Select State/Province...","Vyberte stát / provincii..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Doručit na jinou adresu"
"Ship to this address","Doručit na tuto adresu"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Přihlásit k odběru zpravodaje"
"Sign in to speed up your checkout process","Sign in to speed up your checkout process"
"State/Province","Stát / provincie"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","Telephone"
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"VAT Number","DIČ"
"View and track orders and more","View and track orders and more"
"Welcome, %s!","Welcome, %s!"
"What's this?","What's this?"
"What\'s this?","What\'s this?"
"Zip/Postal Code","Zip/Postal Code"
