"Action","Akce"
"Add Sitemap","Přidat mapu stránek"
"Always","Vždy"
"CMS Pages Options","Možnosti stránek CMS"
"Categories Options","Možnosti kategorií"
"Daily","Denně"
"Edit Sitemap","Upravit mapu stránek"
"Enabled","Zapnuto"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Nelze uložit soubor ""%s"". Prosím ujistěte se, že do adresáře ""%s"" může zapisovat webový server."
"Filename","Název souboru"
"Frequency","Frekvence"
"Generate","Vytvořit"
"Generation Settings","Nastavení generování"
"Google Sitemap","Google Sitemap"
"Hourly","Každou hodinu"
"ID","ID"
"Last Time Generated","Naposledy vytvořeno"
"Link for Google","Odkaz na Google"
"Monthly","Měsíčně"
"Never","Nikdy"
"New Sitemap","Nová mapa stránek"
"Path","Cesta"
"Please create the specified folder ""%s"" before saving the sitemap.","Prosím, před uložením mapy stránek vytvořte uvedenou složku ""%s""."
"Please define correct path","Zadejte správnou cestu"
"Please make sure that ""%s"" is writable by web-server.","Prosím, přesvědčte se, že webový server může zapisovat do ""%s""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","V názvu souboru použijte, prosím, pouze písmena (a-z nebo A-Z), číslice (0-9) nebo podtržítko (_). Mezery nebo jiné znaky nejsou povoleny."
"Priority","Priorita"
"Products Options","Možnosti produktů"
"Sitemap","Mapa stránek"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Start Time","Čas zahájení"
"Store View","Pohled obchodu"
"The priority must be between 0 and 1.","Priorita musí být hodnota mezi 0 a 1."
"The sitemap ""%s"" has been generated.","Mapa stránek ""%s"" byla vytvořena."
"The sitemap has been deleted.","Mapa stránek byla odstraněna."
"The sitemap has been saved.","Mapa stránek byla uložena."
"This sitemap no longer exists.","Tato mapa stránek již neexistuje."
"Unable to find a sitemap to delete.","Nelze najít mapu stránek pro odstranění."
"Unable to find a sitemap to generate.","Nelze najít mapu stránek pro vytvoření."
"Unable to generate the sitemap.","Nelze vygenerovat mapu stránek."
"Valid values range: from 0.0 to 1.0.","Platné hodnoty jsou: od 0,0 do 1,0."
"Weekly","Týdně"
"Yearly","Ročně"
