"%s Item(s)","položek: %s"
"%s-%s of %s","%s-%s z %s"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2016 Magento Demo Store. Všechna práva vyhrazena."
"(Shift-)Click or drag to change value","(Shift-) Kliknutím nebo tažením změníte hodnotu"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- nebo klikněte a táhněte pro rychlejší výběr."
"-- Please Select --","– Vyberte –"
"1 column","1 sloupec"
"2 columns with left bar","2 sloupce s levým pruhem"
"2 columns with right bar","2 sloupce s pravým pruhem"
"3 columns","3 sloupce"
"About the calendar","O kalendáři"
"Account","Účet"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","Všechny stránky"
"All Pages (Print Version)","Všechny stránky (verze pro tisk)"
"All Three-Column Layout Pages","Všechny stránky s 3-sloupcovým rozložením"
"All Two-Column Layout Pages (Left Column)","Všechny stránky s 2-sloupcovým rozložením (sloupec vlevo)"
"All Two-Column Layout Pages (Right Column)","Všechny stránky s 2-sloupcovým rozložením (sloupec vpravo)"
"Allow","Povolit"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Zavřít‏"
"Close Window","Zavřít okno"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Výběr data:"
"Default Description","Výchozí popis"
"Default welcome msg!","Výchozí uvítací zpráva!"
"Display %s first","Zobrazit první %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Přetažením přesunete"
"Empty","Prázdný"
"For latest version visit: %s","For latest version visit: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Dnes"
"Help Us to Keep Magento Healthy","Pomozte nám udržovat Magento v cajku"
"Interface Language","Jazyk rozhraní"
"Items %s to %s of %s total","Položky %s až %s z celkem %s"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Levý sloupec"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Main Content Area","Hlavní oblast obsahu"
"Menu","Menu"
"Navigation Bar","Navigační lišta"
"Next","Další"
"Next month (hold for menu)","Příští měsíc (přidržením menu)"
"Next year (hold for menu)","Příští rok (přidržením menu)"
"Page Bottom","Konec stránky"
"Page Footer","Zápatí stránky"
"Page Header","Záhlaví stránky"
"Page Top","Začátek stránky"
"Page:","Stránka:"
"Prev. month (hold for menu)","Předchozí měsíc (přidržením menu)"
"Prev. year (hold for menu)","Předchozí rok (přidržením menu)"
"Previous","Předchozí"
"Redirecting...","Probíhá přesměrování..."
"Report All Bugs","Hlásit všechny chyby"
"Results per page","Výsledků na stránku"
"Right Column","Pravý sloupec"
"Search","Hledat"
"Select Store","Vybrat obchod"
"Select Store:","Vybrat obchod:"
"Select date","Vybrat datum"
"Show","Zobrazit"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je pouze ukázkový obchod. Veškeré objednávky z tohoto obchodu nebudou vyřízeny (pokud ano, tak je chyba v matrixu)."
"Time selection:","Výběr času:"
"Time:","Čas:"
"View All","Zobrazit vše"
"Welcome, %s!","Vítáme uživatele %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Pro použití všech funkcí tohoto webu musíte mít povolen JavaScript ve svém prohlížeči."
"Your Language","Váš jazyk"
"Your Language:","Váš jazyk:"
"per page","na stránce"
