"%s - Discounts and Coupons","%s - slevy a kupóny"
"%s - Special Products","%s - speciální produkty"
"%s RSS Feed","%s RSS kanál"
"%s has reached a quantity of %s.","%s dosáhl počtu %s."
"%s\'s Wishlist","%s - seznam přání"
"Cannot retrieve the wishlist","Nelze načíst seznam přání"
"Catalog","Katalog"
"Category Feeds","RSS kategorie"
"Click for price","Klikněte pro cenu"
"Comment: %s<br/>","Komentář: %s <br/>"
"Coupons/Discounts","Kupóny/slevy"
"Current Status: %s<br/>","Aktuální stav: %s <br/>"
"Customer Name: %s","Jméno zákazníka: %s"
"Customer Order Status Notification","Oznámení o stavu objednávky zákazníka"
"Details for %s #%s","Podrobnosti o %s #%s"
"Discount","Sleva"
"Discount (%s)","Sleva (%s)"
"Enable RSS","Povolit RSS"
"Error in processing xml. %s","Chyba ve zpracování xml. %s"
"From:","Od:"
"Get Feed","Odebírat RSS"
"Gift Message","Vzkaz k dárku"
"Grand Total","Celkový součet"
"Low Stock Products","Low Stock Products"
"Message:","Zpráva:"
"Miscellaneous Feeds","Různé informační kanály"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty od %s"
"Notified Date: %s<br/>","Notified Date: %s<br/>"
"Order # %s Notification(s)","Order # %s Notification(s)"
"Order #%s created at %s","Order #%s created at %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkty oštítkované %s"
"Purchased From: %s","Purchased From: %s"
"RSS","RSS"
"RSS Feeds","RSS kanály"
"RSS Feeds List","Seznam kanálů RSS"
"RSS Feeds Section","RSS Feeds Section"
"Review: %s <br/>","Review: %s <br/>"
"Rss Config","Nastavení RSS"
"Shipping &amp; Handling","Poštovné a balné"
"Special Products","Speciální produkty"
"Store: %s <br/>","Store: %s <br/>"
"Subtotal","Mezisoučet"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"Tags Products","Tags Products"
"Tax","Daň"
"There are no Rss Feeds","Žádné RSS kanály k dispozici"
"To:","Komu:"
"Top Level Category","Kategorie nejvyšší úrovně"
"Total: %s<br/>","Celkem: %s <br/>"
"Wishlist","Seznam přání"
"click <a href=""%s"">here</a> to view the review","kliknutím <a href=""%s"">sem</a> zobrazíte recenzi"
