"# of Use","počet použití"
"%1$s incl tax.","%1$s s DPH."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"%s and above","%s a výše"
"%s-%s of %s","%s-%s z %s"
"(%d)","(%d)"
"(Copy data from: %s)","(kopírovat data z: %s)"
"* Required Fields","* Povinná pole"
"-- Please Select --","– Vyberte –"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 je výchozí nastavení, pokud není nastaveno jinak. Chcete-li aktualizovat okamžitě, vymažte mezipaměť pro HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red""> Upozornění!</strong> Použití mapy pro výchozí nastavení skryje všechny ceny produktů na frontendu."
"A group with the same name already exists.","Skupina se stejným názvem již existuje."
"A name is required","Název je požadován"
"A product type is not defined for the indexer.","Typ výrobku není definován pro indexování."
"ALL GROUPS","VŠECHNY SKUPINY"
"AM","dopoledne"
"Action","Akce"
"Actual Price","Aktuální cena"
"Add","Přidat"
"Add Attribute","Přidat atribut"
"Add Design Change","Přidat změnu designu"
"Add Group","Přidat skupinu"
"Add Group Price","Přidat cenu skupiny"
"Add New","Přidat nový"
"Add New Attribute","Přidat nový atribut"
"Add New Attribute Set","Přidat novou sadu atributů"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou volbu"
"Add New Row","Přidat nový řádek"
"Add New Search Term","Přidat nový hledaný výraz"
"Add New Set","Přidat novou sadu"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt na weby"
"Add Root Category","Přidat hlavní kategorii"
"Add Subcategory","Přidat podkategorii"
"Add Tax","Přidat daň"
"Add Tier","Přidat úroveň"
"Add attribute into attribute set","Přidat atribut do sady atributů"
"Add group into attribute set","Přidat skupinu do sady atributů"
"Add new custom option into product","Přidat nové vlastní volbu do zboží"
"Add new values into custom option","Přidání nové hodnoty do vlastních možností"
"Add option","Přidat volbu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wishlist","Přidat k oblíbeným"
"Additional Information","Další informace"
"Alert Urls","Oznamovací URL"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All Websites","Všechny weby"
"All products","Všechny produkty"
